Options:
Model:                           MultiState
Tree File Name:                  data/geeta_phylo_geeta_class.tre
Data File Name:                  data/geeta_phylo_geeta_class.txt
Log File Name:                   data/geeta_phylo_geeta_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            505047182
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/geeta_phylo_geeta_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 0.10 
        q02 - uniform 0.00 0.10 
        q03 - uniform 0.00 0.10 
        q10 - uniform 0.00 0.10 
        q12 - uniform 0.00 0.10 
        q13 - uniform 0.00 0.10 
        q20 - uniform 0.00 0.10 
        q21 - uniform 0.00 0.10 
        q23 - uniform 0.00 0.10 
        q30 - uniform 0.00 0.10 
        q31 - uniform 0.00 0.10 
        q32 - uniform 0.00 0.10 
Tree Information
     Trees:                      99
     Taxa:                       561
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
63000	-429.071861	92	0.099624	0.085127	0.088518	0.030171	0.022172	0.055902	0.033020	0.075612	0.025722	0.071816	0.096092	0.062198	0.999999	0.000000	0.000000	0.000000	
64000	-429.199922	22	0.086895	0.081660	0.098501	0.019584	0.045087	0.042895	0.037935	0.056832	0.021523	0.073152	0.065945	0.055615	0.999999	0.000000	0.000000	0.000000	
65000	-425.639916	7	0.099820	0.084937	0.097516	0.034163	0.040891	0.040364	0.057994	0.054596	0.031636	0.070566	0.096001	0.095523	0.999999	0.000000	0.000000	0.000000	
66000	-429.280583	86	0.089388	0.093032	0.094185	0.098050	0.056436	0.040188	0.070613	0.046705	0.035816	0.083537	0.083084	0.033481	0.999997	0.000002	0.000000	0.000001	
67000	-426.616141	39	0.098100	0.095400	0.098977	0.091634	0.071116	0.053915	0.042601	0.029686	0.010008	0.078151	0.089700	0.018114	0.999998	0.000001	0.000000	0.000001	
68000	-431.667938	57	0.099808	0.066590	0.088427	0.064788	0.066900	0.058541	0.013947	0.070014	0.003558	0.082430	0.068211	0.028787	0.999999	0.000000	0.000000	0.000001	
69000	-427.091996	71	0.096809	0.081611	0.099189	0.093423	0.083940	0.086203	0.005302	0.093785	0.003998	0.080527	0.047280	0.042363	0.999998	0.000001	0.000000	0.000001	
70000	-427.667131	76	0.089363	0.087583	0.098460	0.055557	0.096619	0.069158	0.004919	0.070187	0.006056	0.046383	0.089275	0.090927	0.999999	0.000000	0.000000	0.000000	
71000	-430.275074	62	0.095799	0.075285	0.092505	0.054653	0.065959	0.090651	0.006879	0.057954	0.003528	0.027980	0.071513	0.095297	1.000000	0.000000	0.000000	0.000000	
72000	-425.991875	58	0.099119	0.098226	0.099874	0.028826	0.092839	0.032934	0.010677	0.079062	0.006268	0.069789	0.056847	0.053912	0.999999	0.000000	0.000000	0.000000	
73000	-428.405340	25	0.098961	0.082574	0.095509	0.025908	0.057178	0.033958	0.006127	0.075442	0.009281	0.088082	0.049311	0.053872	0.999999	0.000000	0.000000	0.000001	
74000	-425.696694	22	0.096246	0.098331	0.093051	0.012840	0.097162	0.065166	0.009885	0.076315	0.013092	0.099334	0.097688	0.081031	0.999999	0.000000	0.000000	0.000001	
75000	-423.987468	70	0.097679	0.096152	0.098663	0.034059	0.075494	0.095223	0.011524	0.083899	0.013974	0.087599	0.083796	0.094798	0.999999	0.000000	0.000000	0.000001	
76000	-425.706834	4	0.097390	0.099488	0.097831	0.059196	0.063832	0.064137	0.006119	0.045669	0.014025	0.062427	0.078762	0.086577	0.999999	0.000000	0.000000	0.000000	
77000	-429.483808	66	0.070499	0.095681	0.097832	0.046533	0.071354	0.089951	0.005538	0.035418	0.056555	0.094625	0.073391	0.074147	0.999999	0.000000	0.000000	0.000001	
78000	-426.996618	50	0.097907	0.065238	0.098801	0.042034	0.094076	0.091946	0.003780	0.064512	0.094623	0.080337	0.046875	0.089745	0.999999	0.000000	0.000000	0.000001	
79000	-425.803870	37	0.098393	0.098182	0.099329	0.032538	0.085828	0.057048	0.001597	0.069223	0.019527	0.075941	0.042643	0.079099	0.999999	0.000000	0.000000	0.000001	
80000	-425.340185	42	0.099446	0.088304	0.096195	0.025506	0.078733	0.078387	0.001962	0.076146	0.025816	0.088707	0.087449	0.088953	0.999999	0.000000	0.000000	0.000001	
81000	-426.000780	87	0.086342	0.095378	0.099404	0.053689	0.031662	0.097341	0.002033	0.059902	0.019610	0.094720	0.082946	0.063328	0.999999	0.000000	0.000000	0.000001	
82000	-426.273145	72	0.098766	0.098868	0.097492	0.063627	0.034527	0.067212	0.006377	0.071508	0.048092	0.091467	0.053305	0.036389	0.999999	0.000001	0.000000	0.000001	
83000	-428.947709	21	0.095025	0.080942	0.088885	0.097583	0.041554	0.098011	0.014758	0.075405	0.050182	0.089887	0.070153	0.062915	0.999998	0.000002	0.000000	0.000001	
84000	-426.416377	51	0.099165	0.077292	0.098052	0.078559	0.032202	0.070959	0.018578	0.074679	0.038970	0.077039	0.073690	0.061170	0.999999	0.000001	0.000000	0.000001	
85000	-426.755954	74	0.099359	0.083074	0.091046	0.050152	0.046995	0.098271	0.076566	0.091046	0.099987	0.075024	0.094121	0.084553	0.999999	0.000000	0.000001	0.000001	
86000	-426.336944	87	0.095044	0.099943	0.095504	0.033405	0.042028	0.094678	0.088884	0.061163	0.058997	0.066708	0.070156	0.066060	0.999999	0.000000	0.000001	0.000000	
87000	-430.248439	18	0.084682	0.098759	0.088024	0.051605	0.025371	0.043858	0.083874	0.039618	0.052002	0.096967	0.070950	0.084433	0.999998	0.000000	0.000001	0.000001	
88000	-426.164055	56	0.097334	0.085012	0.098723	0.049180	0.051996	0.053386	0.055882	0.031808	0.072226	0.076699	0.071622	0.078860	0.999999	0.000000	0.000000	0.000001	
89000	-428.067361	45	0.084660	0.084333	0.099529	0.056929	0.088438	0.032575	0.044143	0.071231	0.038805	0.080187	0.088213	0.080324	0.999999	0.000000	0.000000	0.000001	
90000	-429.514528	26	0.088675	0.067552	0.093972	0.067809	0.081411	0.043543	0.088496	0.099498	0.037041	0.094096	0.082762	0.080051	0.999998	0.000001	0.000001	0.000001	
91000	-426.123287	33	0.097696	0.078976	0.099312	0.048357	0.055372	0.079859	0.041609	0.063123	0.030995	0.084145	0.084969	0.042032	0.999999	0.000000	0.000000	0.000001	
92000	-427.965947	46	0.095018	0.074924	0.098609	0.052878	0.047127	0.073247	0.032940	0.053411	0.048113	0.090546	0.028117	0.046603	0.999999	0.000000	0.000000	0.000001	
93000	-428.832547	35	0.089100	0.093739	0.099510	0.038229	0.053814	0.060575	0.042097	0.058581	0.082912	0.051122	0.033883	0.044926	0.999999	0.000000	0.000000	0.000000	
