Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
841	0.322235	159	0.918239	0.885928	841	0.322235	0.417000	0.395514	
831	0.345367	169	0.893491	0.885928	831	0.345367	0.438000	0.395702	
831	0.338147	169	0.899408	0.885928	831	0.338147	0.433000	0.395866	
815	0.310429	185	0.929730	0.885928	815	0.310429	0.425000	0.395994	
835	0.318563	165	0.963636	0.885928	835	0.318563	0.425000	0.396121	
828	0.322464	172	0.941860	0.885928	828	0.322464	0.429000	0.396263	
837	0.313023	163	0.914110	0.885928	837	0.313023	0.411000	0.396327	
837	0.342891	163	0.895706	0.885928	837	0.342891	0.433000	0.396485	
813	0.335793	187	0.925134	0.885928	813	0.335793	0.446000	0.396698	
824	0.341019	176	0.960227	0.885928	824	0.341019	0.450000	0.396926	
833	0.312125	167	0.904192	0.885928	833	0.312125	0.411000	0.396986	
823	0.348724	177	0.920904	0.885928	823	0.348724	0.450000	0.397210	
827	0.308343	173	0.855491	0.885928	827	0.308343	0.403000	0.397235	
803	0.295143	197	0.934010	0.885928	803	0.295143	0.421000	0.397334	
817	0.375765	183	0.907104	0.885928	817	0.375765	0.473000	0.397651	
836	0.345694	164	0.908537	0.885928	836	0.345694	0.438000	0.397819	
833	0.315726	167	0.946108	0.885928	833	0.315726	0.421000	0.397915	
818	0.287286	182	0.890110	0.885928	818	0.287286	0.397000	0.397912	
825	0.349091	175	0.914286	0.885928	825	0.349091	0.448000	0.398118	
831	0.341757	169	0.887574	0.885928	831	0.341757	0.434000	0.398265	
829	0.330519	171	0.906433	0.885928	829	0.330519	0.429000	0.398390	
816	0.361520	184	0.913043	0.885928	816	0.361520	0.463000	0.398653	
816	0.287990	184	0.891304	0.885928	816	0.287990	0.399000	0.398654	
828	0.365942	172	0.930233	0.885928	828	0.365942	0.463000	0.398914	
841	0.319857	159	0.899371	0.885928	841	0.319857	0.412000	0.398966	
804	0.303483	196	0.923469	0.885928	804	0.303483	0.425000	0.399070	
817	0.328029	183	0.890710	0.885928	817	0.328029	0.431000	0.399198	
824	0.337379	176	0.937500	0.885928	824	0.337379	0.443000	0.399371	
837	0.317802	163	0.889571	0.885928	837	0.317802	0.411000	0.399417	
800	0.312500	200	0.920000	0.885928	800	0.312500	0.434000	0.399554	
805	0.383851	195	0.887179	0.885928	805	0.383851	0.482000	0.399877	
816	0.324755	184	0.923913	0.885928	816	0.324755	0.435000	0.400014	
826	0.352300	174	0.908046	0.885928	826	0.352300	0.449000	0.400205	
824	0.371359	176	0.903409	0.885928	824	0.371359	0.465000	0.400456	
818	0.385086	182	0.890110	0.885928	818	0.385086	0.477000	0.400751	
828	0.349034	172	0.883721	0.885928	828	0.349034	0.441000	0.400906	
826	0.337772	174	0.896552	0.885928	826	0.337772	0.435000	0.401037	
826	0.340194	174	0.913793	0.885928	826	0.340194	0.440000	0.401185	
