Options:
Model:                           MultiState
Tree File Name:                  data/zun_genus_phylo_nat_26-09-24_class.tre
Data File Name:                  data/zun_genus_phylo_nat_26-09-24_class.txt
Log File Name:                   data/zun_genus_phylo_nat_26-09-24_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            508558541
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/zun_genus_phylo_nat_26-09-24_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 100.00 
        q02 - uniform 0.00 100.00 
        q03 - uniform 0.00 100.00 
        q10 - uniform 0.00 100.00 
        q12 - uniform 0.00 100.00 
        q13 - uniform 0.00 100.00 
        q20 - uniform 0.00 100.00 
        q21 - uniform 0.00 100.00 
        q23 - uniform 0.00 100.00 
        q30 - uniform 0.00 100.00 
        q31 - uniform 0.00 100.00 
        q32 - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       2162
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
55000	-1037.486532	1	2.731013	3.479267	1.753103	31.300346	51.097298	36.915005	89.047484	49.741858	65.974500	74.441988	15.478053	0.531089	0.250000	0.250000	0.250000	0.250000	
56000	-1038.913866	1	1.054727	1.692116	7.214116	69.670867	21.613477	92.772675	36.062292	93.717557	38.655271	78.937997	78.133901	38.897716	0.250000	0.250000	0.250000	0.250000	
57000	-1037.892288	1	2.384746	2.447439	5.823332	28.075187	48.377251	70.963872	89.319947	65.564465	89.346883	93.960744	24.672790	36.160452	0.250000	0.250000	0.250000	0.250000	
58000	-1037.217802	1	2.369353	2.171030	3.081811	54.811492	2.026426	34.379491	14.127709	23.552745	66.236777	74.270470	6.980345	7.806018	0.250000	0.250000	0.250000	0.250000	
59000	-1036.423251	1	3.084805	0.976165	2.773439	68.832219	1.850020	99.592140	59.597644	13.947283	74.641530	39.739145	66.211960	37.585633	0.250000	0.250000	0.250000	0.250000	
60000	-1037.250367	1	2.572692	2.320495	2.975869	8.507332	55.862087	58.380387	76.380189	74.688898	57.757037	77.813609	5.084611	10.731339	0.250000	0.250000	0.250000	0.250000	
61000	-1036.909842	1	2.608995	1.917160	2.677076	40.544176	60.129396	55.834564	69.718025	93.911338	94.792083	53.369381	21.442275	47.986598	0.250000	0.250000	0.250000	0.250000	
62000	-1036.725571	1	2.065571	1.932631	6.286752	66.400334	57.174311	30.377471	75.529706	80.058130	88.454857	89.477623	52.967254	20.192690	0.250000	0.250000	0.250000	0.250000	
63000	-1037.179800	1	0.185305	0.125662	11.309061	77.368795	40.864605	45.248605	75.685944	88.847853	67.373374	99.865962	73.341320	80.382526	0.250000	0.250000	0.250000	0.250000	
64000	-1036.807720	1	0.020119	0.050366	6.283981	17.312454	62.019040	82.454440	50.208792	56.078228	56.643283	61.810439	84.930687	14.409843	0.250000	0.250000	0.250000	0.250000	
65000	-1038.535179	1	0.409314	0.081074	5.100700	47.201587	13.539931	20.756468	90.794557	13.262967	22.394174	30.251603	31.692488	37.940703	0.250000	0.250000	0.250000	0.250000	
66000	-1037.508970	1	0.901719	0.118638	9.617255	79.622934	12.931381	10.395044	88.090034	5.056031	93.492221	79.729279	66.755357	54.673352	0.250000	0.250000	0.250000	0.250000	
67000	-1037.065105	1	2.725549	1.690435	2.918940	88.652225	7.777202	2.011517	98.310551	29.976572	71.482088	5.902677	20.154399	47.015917	0.250000	0.250000	0.250000	0.250000	
68000	-1040.997639	1	1.275365	0.907998	4.004241	49.615288	16.037508	29.976155	53.492965	48.244263	77.881731	43.988957	51.576542	48.851832	0.250000	0.250000	0.250000	0.250000	
69000	-1036.738416	1	1.876389	3.425805	2.661921	54.841401	13.505290	76.843640	99.928461	76.393945	97.729459	45.888178	51.595915	39.315513	0.250000	0.250000	0.250000	0.250000	
70000	-1037.353002	1	7.716737	1.206430	2.333644	97.153722	24.662533	93.295405	85.774009	29.716926	97.865092	75.379470	34.640866	47.754931	0.250000	0.250000	0.250000	0.250000	
71000	-1037.267072	1	1.992678	1.443697	1.880554	23.048951	41.328643	78.661021	9.986072	45.359326	64.439427	60.431609	36.047368	6.292895	0.250000	0.250000	0.250000	0.250000	
72000	-1036.289272	1	2.386727	0.076813	3.116673	16.528334	61.179538	54.886733	76.095250	64.895454	50.471681	46.279024	32.034547	27.916196	0.250000	0.250000	0.250000	0.250000	
73000	-1038.559961	1	0.587688	2.658947	5.683489	34.667511	15.527347	51.095545	77.463355	30.737504	32.750019	80.718873	56.448010	16.593461	0.250000	0.250000	0.250000	0.250000	
74000	-1037.418520	1	4.424656	1.333146	0.753341	72.159704	38.998181	89.307890	53.125274	71.124780	63.220683	23.208908	46.138469	22.854234	0.250000	0.250000	0.250000	0.250000	
75000	-1036.676267	1	2.919396	1.645336	4.829860	77.884504	58.826711	76.843380	89.522914	89.389336	95.378831	61.436624	68.494950	50.285250	0.250000	0.250000	0.250000	0.250000	
76000	-1037.524323	1	4.354357	0.856579	1.673269	73.378649	43.693214	68.910385	81.821394	28.493607	19.311674	39.504419	35.262893	1.977117	0.250000	0.250000	0.250000	0.250000	
77000	-1036.904762	1	5.094559	0.682639	4.629160	94.371490	41.158603	10.032927	81.105597	17.485391	29.475683	79.435778	7.217657	5.724881	0.250000	0.250000	0.250000	0.250000	
78000	-1037.224604	1	0.775616	3.396423	2.034628	53.330428	15.976033	13.652203	82.253245	67.012044	95.695905	26.145663	21.415273	42.840960	0.250000	0.250000	0.250000	0.250000	
79000	-1037.924039	1	3.510556	2.217435	0.065157	26.066175	30.679335	73.758152	34.177531	25.216689	81.765785	51.001794	17.659693	11.384471	0.250000	0.250000	0.250000	0.250000	
80000	-1037.146440	1	4.215452	1.013655	3.184155	94.007033	40.463634	68.523666	45.128650	84.231211	11.048129	57.705935	34.935742	18.083717	0.250000	0.250000	0.250000	0.250000	
81000	-1037.075581	1	0.861926	2.174776	6.519302	36.809849	3.421005	52.997877	90.601277	18.625134	63.056046	97.486598	44.334148	39.457818	0.250000	0.250000	0.250000	0.250000	
82000	-1038.306648	1	5.289446	4.363645	0.066357	91.200633	0.347895	64.119888	79.791704	39.281913	97.203868	45.232739	26.257846	29.867511	0.250000	0.250000	0.250000	0.250000	
83000	-1036.349805	1	4.952895	1.281611	3.916355	97.320758	43.291185	9.735571	16.044568	45.680299	88.133304	81.048757	9.169386	10.252140	0.250000	0.250000	0.250000	0.250000	
