Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.315000	0.451040	1000	0.315000	0.315000	0.264950	
1000	0.308000	0.451040	1000	0.308000	0.308000	0.265125	
1000	0.317000	0.451040	1000	0.317000	0.317000	0.265336	
1000	0.290000	0.451040	1000	0.290000	0.290000	0.265436	
1000	0.274000	0.451040	1000	0.274000	0.274000	0.265471	
1000	0.309000	0.451040	1000	0.309000	0.309000	0.265646	
1000	0.265000	0.451040	1000	0.265000	0.265000	0.265643	
1000	0.293000	0.451040	1000	0.293000	0.293000	0.265752	
1000	0.321000	0.451040	1000	0.321000	0.321000	0.265971	
1000	0.339000	0.451040	1000	0.339000	0.339000	0.266260	
1000	0.316000	0.451040	1000	0.316000	0.316000	0.266456	
1000	0.344000	0.451040	1000	0.344000	0.344000	0.266760	
1000	0.318000	0.451040	1000	0.318000	0.318000	0.266960	
1000	0.296000	0.451040	1000	0.296000	0.296000	0.267073	
1000	0.293000	0.451040	1000	0.293000	0.293000	0.267173	
1000	0.384000	0.451040	1000	0.384000	0.384000	0.267624	
1000	0.307000	0.451040	1000	0.307000	0.307000	0.267776	
1000	0.296000	0.451040	1000	0.296000	0.296000	0.267884	
1000	0.376000	0.451040	1000	0.376000	0.376000	0.268297	
1000	0.353000	0.451040	1000	0.353000	0.353000	0.268619	
1000	0.331000	0.451040	1000	0.331000	0.331000	0.268855	
1000	0.333000	0.451040	1000	0.333000	0.333000	0.269097	
1000	0.315000	0.451040	1000	0.315000	0.315000	0.269270	
1000	0.355000	0.451040	1000	0.355000	0.355000	0.269591	
1000	0.305000	0.451040	1000	0.305000	0.305000	0.269723	
1000	0.260000	0.451040	1000	0.260000	0.260000	0.269687	
1000	0.300000	0.451040	1000	0.300000	0.300000	0.269799	
1000	0.301000	0.451040	1000	0.301000	0.301000	0.269914	
1000	0.340000	0.451040	1000	0.340000	0.340000	0.270172	
1000	0.318000	0.451040	1000	0.318000	0.318000	0.270347	
1000	0.347000	0.451040	1000	0.347000	0.347000	0.270627	
1000	0.314000	0.451040	1000	0.314000	0.314000	0.270784	
1000	0.295000	0.451040	1000	0.295000	0.295000	0.270872	
1000	0.317000	0.451040	1000	0.317000	0.317000	0.271039	
1000	0.354000	0.451040	1000	0.354000	0.354000	0.271337	
1000	0.284000	0.451040	1000	0.284000	0.284000	0.271383	
1000	0.347000	0.451040	1000	0.347000	0.347000	0.271653	
1000	0.310000	0.451040	1000	0.310000	0.310000	0.271789	
1000	0.294000	0.451040	1000	0.294000	0.294000	0.271868	
1000	0.333000	0.451040	1000	0.333000	0.333000	0.272084	
1000	0.329000	0.451040	1000	0.329000	0.329000	0.272284	
1000	0.301000	0.451040	1000	0.301000	0.301000	0.272385	
1000	0.278000	0.451040	1000	0.278000	0.278000	0.272405	
1000	0.257000	0.451040	1000	0.257000	0.257000	0.272351	
1000	0.291000	0.451040	1000	0.291000	0.291000	0.272416	
1000	0.294000	0.451040	1000	0.294000	0.294000	0.272490	
1000	0.343000	0.451040	1000	0.343000	0.343000	0.272734	
1000	0.275000	0.451040	1000	0.275000	0.275000	0.272741	
1000	0.295000	0.451040	1000	0.295000	0.295000	0.272818	
1000	0.331000	0.451040	1000	0.331000	0.331000	0.273016	
1000	0.328000	0.451040	1000	0.328000	0.328000	0.273203	
1000	0.278000	0.451040	1000	0.278000	0.278000	0.273219	
1000	0.334000	0.451040	1000	0.334000	0.334000	0.273425	
1000	0.340000	0.451040	1000	0.340000	0.340000	0.273649	
1000	0.329000	0.451040	1000	0.329000	0.329000	0.273835	
1000	0.331000	0.451040	1000	0.331000	0.331000	0.274026	
1000	0.302000	0.451040	1000	0.302000	0.302000	0.274119	
1000	0.297000	0.451040	1000	0.297000	0.297000	0.274195	
1000	0.336000	0.451040	1000	0.336000	0.336000	0.274400	
1000	0.354000	0.451040	1000	0.354000	0.354000	0.274662	
1000	0.282000	0.451040	1000	0.282000	0.282000	0.274687	
1000	0.273000	0.451040	1000	0.273000	0.273000	0.274681	
1000	0.269000	0.451040	1000	0.269000	0.269000	0.274663	
1000	0.271000	0.451040	1000	0.271000	0.271000	0.274651	
1000	0.298000	0.451040	1000	0.298000	0.298000	0.274726	
1000	0.287000	0.451040	1000	0.287000	0.287000	0.274766	
1000	0.350000	0.451040	1000	0.350000	0.350000	0.275009	
1000	0.310000	0.451040	1000	0.310000	0.310000	0.275121	
1000	0.303000	0.451040	1000	0.303000	0.303000	0.275211	
1000	0.311000	0.451040	1000	0.311000	0.311000	0.275325	
1000	0.316000	0.451040	1000	0.316000	0.316000	0.275455	
1000	0.310000	0.451040	1000	0.310000	0.310000	0.275564	
1000	0.302000	0.451040	1000	0.302000	0.302000	0.275648	
1000	0.351000	0.451040	1000	0.351000	0.351000	0.275886	
1000	0.345000	0.451040	1000	0.345000	0.345000	0.276103	
1000	0.319000	0.451040	1000	0.319000	0.319000	0.276237	
1000	0.341000	0.451040	1000	0.341000	0.341000	0.276440	
1000	0.340000	0.451040	1000	0.340000	0.340000	0.276638	
1000	0.270000	0.451040	1000	0.270000	0.270000	0.276617	
1000	0.314000	0.451040	1000	0.314000	0.314000	0.276733	
1000	0.326000	0.451040	1000	0.326000	0.326000	0.276885	
1000	0.333000	0.451040	1000	0.333000	0.333000	0.277058	
1000	0.355000	0.451040	1000	0.355000	0.355000	0.277297	
1000	0.284000	0.451040	1000	0.284000	0.284000	0.277317	
1000	0.295000	0.451040	1000	0.295000	0.295000	0.277371	
1000	0.338000	0.451040	1000	0.338000	0.338000	0.277555	
1000	0.362000	0.451040	1000	0.362000	0.362000	0.277811	
1000	0.314000	0.451040	1000	0.314000	0.314000	0.277921	
1000	0.302000	0.451040	1000	0.302000	0.302000	0.277993	
1000	0.323000	0.451040	1000	0.323000	0.323000	0.278128	
1000	0.295000	0.451040	1000	0.295000	0.295000	0.278179	
1000	0.305000	0.451040	1000	0.305000	0.305000	0.278259	
1000	0.316000	0.451040	1000	0.316000	0.316000	0.278371	
1000	0.352000	0.451040	1000	0.352000	0.352000	0.278590	
1000	0.313000	0.451040	1000	0.313000	0.313000	0.278691	
1000	0.352000	0.451040	1000	0.352000	0.352000	0.278908	
1000	0.332000	0.451040	1000	0.332000	0.332000	0.279064	
1000	0.272000	0.451040	1000	0.272000	0.272000	0.279043	
1000	0.334000	0.451040	1000	0.334000	0.334000	0.279204	
1000	0.318000	0.451040	1000	0.318000	0.318000	0.279317	
1000	0.319000	0.451040	1000	0.319000	0.319000	0.279432	
1000	0.295000	0.451040	1000	0.295000	0.295000	0.279477	
1000	0.319000	0.451040	1000	0.319000	0.319000	0.279592	
1000	0.298000	0.451040	1000	0.298000	0.298000	0.279645	
1000	0.292000	0.451040	1000	0.292000	0.292000	0.279680	
1000	0.315000	0.451040	1000	0.315000	0.315000	0.279781	
1000	0.240000	0.451040	1000	0.240000	0.240000	0.279668	
1000	0.313000	0.451040	1000	0.313000	0.313000	0.279763	
1000	0.311000	0.451040	1000	0.311000	0.311000	0.279851	
1000	0.277000	0.451040	1000	0.277000	0.277000	0.279843	
1000	0.307000	0.451040	1000	0.307000	0.307000	0.279920	
1000	0.258000	0.451040	1000	0.258000	0.258000	0.279858	
1000	0.313000	0.451040	1000	0.313000	0.313000	0.279951	
1000	0.280000	0.451040	1000	0.280000	0.280000	0.279952	
1000	0.305000	0.451040	1000	0.305000	0.305000	0.280022	
1000	0.322000	0.451040	1000	0.322000	0.322000	0.280138	
1000	0.249000	0.451040	1000	0.249000	0.249000	0.280052	
1000	0.305000	0.451040	1000	0.305000	0.305000	0.280121	
1000	0.336000	0.451040	1000	0.336000	0.336000	0.280275	
1000	0.369000	0.451040	1000	0.369000	0.369000	0.280520	
1000	0.333000	0.451040	1000	0.333000	0.333000	0.280664	
1000	0.364000	0.451040	1000	0.364000	0.364000	0.280892	
1000	0.297000	0.451040	1000	0.297000	0.297000	0.280936	
1000	0.356000	0.451040	1000	0.356000	0.356000	0.281141	
1000	0.307000	0.451040	1000	0.307000	0.307000	0.281211	
1000	0.266000	0.451040	1000	0.266000	0.266000	0.281170	
1000	0.316000	0.451040	1000	0.316000	0.316000	0.281264	
1000	0.349000	0.451040	1000	0.349000	0.349000	0.281447	
1000	0.289000	0.451040	1000	0.289000	0.289000	0.281467	
1000	0.328000	0.451040	1000	0.328000	0.328000	0.281592	
1000	0.318000	0.451040	1000	0.318000	0.318000	0.281689	
1000	0.286000	0.451040	1000	0.286000	0.286000	0.281701	
1000	0.285000	0.451040	1000	0.285000	0.285000	0.281709	
1000	0.326000	0.451040	1000	0.326000	0.326000	0.281827	
1000	0.341000	0.451040	1000	0.341000	0.341000	0.281983	
1000	0.312000	0.451040	1000	0.312000	0.312000	0.282063	
1000	0.344000	0.451040	1000	0.344000	0.344000	0.282226	
1000	0.293000	0.451040	1000	0.293000	0.293000	0.282254	
1000	0.342000	0.451040	1000	0.342000	0.342000	0.282410	
1000	0.296000	0.451040	1000	0.296000	0.296000	0.282446	
1000	0.320000	0.451040	1000	0.320000	0.320000	0.282544	
1000	0.313000	0.451040	1000	0.313000	0.313000	0.282623	
1000	0.349000	0.451040	1000	0.349000	0.349000	0.282795	
1000	0.322000	0.451040	1000	0.322000	0.322000	0.282896	
1000	0.300000	0.451040	1000	0.300000	0.300000	0.282940	
1000	0.257000	0.451040	1000	0.257000	0.257000	0.282873	
1000	0.304000	0.451040	1000	0.304000	0.304000	0.282927	
1000	0.316000	0.451040	1000	0.316000	0.316000	0.283012	
1000	0.298000	0.451040	1000	0.298000	0.298000	0.283050	
1000	0.285000	0.451040	1000	0.285000	0.285000	0.283055	
1000	0.243000	0.451040	1000	0.243000	0.243000	0.282954	
1000	0.311000	0.451040	1000	0.311000	0.311000	0.283025	
1000	0.311000	0.451040	1000	0.311000	0.311000	0.283095	
1000	0.313000	0.451040	1000	0.313000	0.313000	0.283171	
1000	0.285000	0.451040	1000	0.285000	0.285000	0.283175	
1000	0.328000	0.451040	1000	0.328000	0.328000	0.283288	
1000	0.303000	0.451040	1000	0.303000	0.303000	0.283337	
1000	0.284000	0.451040	1000	0.284000	0.284000	0.283338	
1000	0.308000	0.451040	1000	0.308000	0.308000	0.283400	
1000	0.317000	0.451040	1000	0.317000	0.317000	0.283483	
1000	0.312000	0.451040	1000	0.312000	0.312000	0.283554	
1000	0.268000	0.451040	1000	0.268000	0.268000	0.283515	
1000	0.321000	0.451040	1000	0.321000	0.321000	0.283608	
1000	0.328000	0.451040	1000	0.328000	0.328000	0.283717	
1000	0.319000	0.451040	1000	0.319000	0.319000	0.283803	
1000	0.286000	0.451040	1000	0.286000	0.286000	0.283809	
1000	0.359000	0.451040	1000	0.359000	0.359000	0.283992	
1000	0.302000	0.451040	1000	0.302000	0.302000	0.284036	
1000	0.274000	0.451040	1000	0.274000	0.274000	0.284011	
1000	0.319000	0.451040	1000	0.319000	0.319000	0.284096	
1000	0.358000	0.451040	1000	0.358000	0.358000	0.284275	
1000	0.342000	0.451040	1000	0.342000	0.342000	0.284414	
1000	0.333000	0.451040	1000	0.333000	0.333000	0.284531	
1000	0.312000	0.451040	1000	0.312000	0.312000	0.284596	
1000	0.290000	0.451040	1000	0.290000	0.290000	0.284609	
1000	0.314000	0.451040	1000	0.314000	0.314000	0.284680	
1000	0.311000	0.451040	1000	0.311000	0.311000	0.284742	
1000	0.328000	0.451040	1000	0.328000	0.328000	0.284845	
1000	0.262000	0.451040	1000	0.262000	0.262000	0.284791	
1000	0.298000	0.451040	1000	0.298000	0.298000	0.284822	
1000	0.262000	0.451040	1000	0.262000	0.262000	0.284768	
