Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
834	0.195444	166	0.849398	0.108524	834	0.195444	0.304000	0.376810	
812	0.325123	188	0.882979	0.093754	812	0.325123	0.430000	0.377059	
826	0.365617	174	0.867816	0.093754	826	0.365617	0.453000	0.377412	
840	0.339286	160	0.850000	0.093754	840	0.339286	0.421000	0.377614	
842	0.288599	158	0.892405	0.093754	842	0.288599	0.384000	0.377643	
847	0.363636	153	0.862745	0.093754	847	0.363636	0.440000	0.377929	
852	0.326291	148	0.891892	0.093754	852	0.326291	0.410000	0.378076	
844	0.298578	156	0.794872	0.093754	844	0.298578	0.376000	0.378066	
815	0.333742	185	0.875676	0.093754	815	0.333742	0.434000	0.378320	
822	0.418491	178	0.848315	0.093754	822	0.418491	0.495000	0.378845	
826	0.318402	174	0.844828	0.107176	826	0.318402	0.410000	0.378985	
820	0.307317	180	0.844444	0.107176	820	0.307317	0.404000	0.379097	
834	0.280576	166	0.837349	0.107176	834	0.280576	0.373000	0.379069	
824	0.268204	176	0.914773	0.107176	824	0.268204	0.382000	0.379082	
839	0.348033	161	0.881988	0.107176	839	0.348033	0.434000	0.379324	
832	0.292067	168	0.922619	0.107176	832	0.292067	0.398000	0.379406	
810	0.251852	190	0.873684	0.107176	810	0.251852	0.370000	0.379365	
826	0.207022	174	0.873563	0.107176	826	0.207022	0.323000	0.379120	
830	0.318072	170	0.852941	0.107176	830	0.318072	0.409000	0.379249	
807	0.208178	193	0.823834	0.107176	807	0.208178	0.327000	0.379024	
833	0.362545	167	0.826347	0.107176	833	0.362545	0.440000	0.379286	
814	0.267813	186	0.849462	0.107176	814	0.267813	0.376000	0.379272	
830	0.234940	170	0.911765	0.107176	830	0.234940	0.350000	0.379147	
833	0.304922	167	0.934132	0.107176	833	0.304922	0.410000	0.379278	
845	0.222485	155	0.929032	0.107176	845	0.222485	0.332000	0.379079	
850	0.268235	150	0.913333	0.107176	850	0.268235	0.365000	0.379019	
829	0.334138	171	0.888889	0.107176	829	0.334138	0.429000	0.379229	
823	0.273390	177	0.870056	0.107176	823	0.273390	0.379000	0.379228	
820	0.286585	180	0.888889	0.107176	820	0.286585	0.395000	0.379293	
813	0.316113	187	0.909091	0.107176	813	0.316113	0.427000	0.379490	
850	0.305882	150	0.900000	0.107176	850	0.305882	0.395000	0.379554	
845	0.323077	155	0.870968	0.107176	845	0.323077	0.408000	0.379671	
830	0.231325	170	0.841176	0.107176	830	0.231325	0.335000	0.379488	
849	0.275618	151	0.807947	0.107176	849	0.275618	0.356000	0.379393	
810	0.327160	190	0.794737	0.107176	810	0.327160	0.416000	0.379541	
841	0.278240	159	0.911950	0.107176	841	0.278240	0.379000	0.379539	
815	0.208589	185	0.913514	0.107176	815	0.208589	0.339000	0.379376	
825	0.225455	175	0.897143	0.107176	825	0.225455	0.343000	0.379230	
841	0.152200	159	0.874214	0.107176	841	0.152200	0.267000	0.378783	
832	0.328125	168	0.922619	0.093263	832	0.328125	0.428000	0.378979	
836	0.306220	164	0.859756	0.093263	836	0.306220	0.397000	0.379050	
825	0.289697	175	0.822857	0.093263	825	0.289697	0.383000	0.379065	
825	0.347879	175	0.908571	0.093263	825	0.347879	0.446000	0.379328	
851	0.321974	149	0.791946	0.093263	851	0.321974	0.392000	0.379377	
802	0.329177	198	0.909091	0.093263	802	0.329177	0.444000	0.379629	
815	0.293252	185	0.897297	0.093263	815	0.293252	0.405000	0.379727	
816	0.294118	184	0.896739	0.093263	816	0.294118	0.405000	0.379825	
862	0.351508	138	0.905797	0.093263	862	0.351508	0.428000	0.380010	
830	0.293976	170	0.864706	0.093263	830	0.293976	0.391000	0.380052	
836	0.401914	164	0.853659	0.093263	836	0.401914	0.476000	0.380418	
836	0.294258	164	0.847561	0.095685	836	0.294258	0.385000	0.380436	
836	0.345694	164	0.914634	0.095685	836	0.345694	0.439000	0.380658	
834	0.366906	166	0.909639	0.095685	834	0.366906	0.457000	0.380946	
852	0.330986	148	0.844595	0.095685	852	0.330986	0.407000	0.381044	
828	0.327295	172	0.848837	0.095685	828	0.327295	0.417000	0.381178	
802	0.305486	198	0.848485	0.095685	802	0.305486	0.413000	0.381297	
813	0.351784	187	0.946524	0.095685	813	0.351784	0.463000	0.381601	
